,TP,FP,TN,FN,,Total,Specificity,Sensitivity,False Positive Rate,Distance,,Min
11,151,,,,,1262,,,,,,0.265639755
116,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
115,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
114,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
113,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
112,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
111,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
110,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
109,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
108,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
107,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
106,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
105,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
104,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
103,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
102,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
101,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
100,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
99,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
98,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
97,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
96,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
95,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
94,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
93,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
92,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
91,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
90,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
